ID,Restaurant,City,Area,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
192,Roast Table MDCSector4,Panchkula,MDC Sector 4,Cafe,4.6,1400,Yes,Yes,"SCO 336, MDC Sector 4, Panchkula, Punjab",+91 9816205487,11 AM - 11:30 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,72,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
193,Amber Table Sector22,Chandigarh,Sector 22,Italian,4.6,650,Yes,No,"SCO 300, Sector 22, Chandigarh, Punjab",+91 9869306782,9 AM - 11 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,85,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
194,Maple Table Sector70,Mohali,Sector 70,Chinese,4.2,2100,No,Yes,"SCO 38, Sector 70, Mohali, Punjab",+91 9867257689,9 AM - 11 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,71,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
195,Pine Table Sector11,Panchkula,Sector 11,South Indian,4.2,2100,Yes,No,"SCO 190, Sector 11, Panchkula, Punjab",+91 9841464649,12 PM - 12 AM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,81,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
196,Olive Kitchen Sector43,Chandigarh,Sector 43,Punjabi,4.6,850,Yes,Yes,"SCO 98, Sector 43, Chandigarh, Punjab",+91 9821832974,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,78,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
197,Copper Kitchen Phase3B2,Mohali,Phase 3B2,Continental,4.8,2000,No,No,"SCO 35, Phase 3B2, Mohali, Punjab",+91 9838378393,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,61,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
198,Saffron Kitchen MDCSector4,Panchkula,MDC Sector 4,Asian,4.2,1900,Yes,Yes,"SCO 63, MDC Sector 4, Panchkula, Punjab",+91 9838033769,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,98,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
199,Willow Kitchen Sector17,Chandigarh,Sector 17,Bakery,4.0,1850,Yes,Yes,"SCO 96, Sector 17, Chandigarh, Punjab",+91 9890530333,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,95,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
200,Urban Kitchen Phase10,Mohali,Phase 10,Fast Food,4.2,2250,No,Yes,"SCO 308, Phase 10, Mohali, Punjab",+91 9874365514,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,96,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
201,Cedar Kitchen Sector11,Panchkula,Sector 11,North Indian,4.7,1050,No,Yes,"SCO 263, Sector 11, Panchkula, Punjab",+91 9814799630,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,82,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
202,Mango Kitchen Sector35,Chandigarh,Sector 35,Cafe,3.9,1650,Yes,No,"SCO 272, Sector 35, Chandigarh, Punjab",+91 9871171370,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,84,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
203,Mint Kitchen AirportRoad,Mohali,Airport Road,Italian,4.3,2000,No,Yes,"SCO 100, Airport Road, Mohali, Punjab",+91 9892685841,9 AM - 11 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,74,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
204,Blue Kitchen MDCSector4,Panchkula,MDC Sector 4,Chinese,3.9,2100,Yes,Yes,"SCO 69, MDC Sector 4, Panchkula, Punjab",+91 9835541495,11 AM - 11:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,86,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
205,Curry Kitchen Sector9,Chandigarh,Sector 9,South Indian,4.1,700,Yes,Yes,"SCO 124, Sector 9, Chandigarh, Punjab",+91 9880222971,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,60,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
206,Basil Kitchen Phase7,Mohali,Phase 7,Punjabi,4.2,700,Yes,No,"SCO 97, Phase 7, Mohali, Punjab",+91 9812153803,11 AM - 11:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,91,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
207,Roast Kitchen Sector11,Panchkula,Sector 11,Continental,4.1,700,No,Yes,"SCO 75, Sector 11, Panchkula, Punjab",+91 9816019308,11 AM - 11:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,79,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
208,Amber Kitchen Sector26,Chandigarh,Sector 26,Asian,4.7,1500,No,No,"SCO 120, Sector 26, Chandigarh, Punjab",+91 9843432215,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,85,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
209,Maple Kitchen Sector79,Mohali,Sector 79,Bakery,3.9,2250,Yes,No,"SCO 160, Sector 79, Mohali, Punjab",+91 9816494368,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,78,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
210,Pine Kitchen MDCSector4,Panchkula,MDC Sector 4,Fast Food,4.6,2400,No,No,"SCO 287, MDC Sector 4, Panchkula, Punjab",+91 9815618383,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,83,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
